date,number_of_homicides
2010-06-24,23.0
2010-06-25,23.0
2010-06-26,24.0
2010-06-27,25.0
2010-06-28,24.0
2010-06-29,22.0
2010-06-30,20.0
2010-07-01,19.0
2010-07-02,20.0
2010-07-03,22.0
2010-07-04,21.0
2010-07-05,21.0
2010-07-06,22.0
2010-07-07,22.0
2010-07-08,22.0
2010-07-09,22.0
2010-07-10,22.0
2010-07-11,21.0
2010-07-12,22.0
2010-07-13,22.0
2010-07-14,21.0
2010-07-15,20.0
2010-07-16,20.0
2010-07-17,21.0
2010-07-18,21.0
2010-07-19,20.0
2010-07-20,20.0
2010-07-21,19.0
2010-07-22,20.0
2010-07-23,20.0
2010-07-24,21.0
2010-07-25,23.0
2010-07-26,22.0
2010-07-27,23.0
2010-07-28,21.0
2010-07-29,22.0
2010-07-30,24.0
2010-07-31,23.0
2010-08-01,23.0
2010-08-02,21.0
2010-08-03,20.0
2010-08-04,19.0
2010-08-05,18.0
2010-08-06,18.0
2010-08-07,21.0
2010-08-08,22.0
2010-08-09,22.0
2010-08-10,22.0
2010-08-11,23.0
2010-08-12,24.0
2010-08-13,25.0
2010-08-14,26.0
2010-08-15,27.0
2010-08-16,27.0
2010-08-17,27.0
2010-08-18,27.0
2010-08-19,26.0
2010-08-20,26.0
2010-08-21,27.0
2010-08-22,27.0
2010-08-23,25.0
2010-08-24,24.0
2010-08-25,24.0
2010-08-26,22.0
2010-08-27,22.0
2010-08-28,21.0
2010-08-29,19.0
2010-08-30,21.0
2010-08-31,22.0
2010-09-01,22.0
2010-09-02,23.0
2010-09-03,24.0
2010-09-04,24.0
2010-09-05,23.0
2010-09-06,20.0
2010-09-07,20.0
2010-09-08,20.0
2010-09-09,22.0
2010-09-10,20.0
2010-09-11,18.0
2010-09-12,17.0
2010-09-13,17.0
2010-09-14,16.0
2010-09-15,15.0
2010-09-16,16.0
2010-09-17,17.0
2010-09-18,17.0
2010-09-19,19.0
2010-09-20,17.0
2010-09-21,16.0
2010-09-22,17.0
2010-09-23,17.0
2010-09-24,17.0
2010-09-25,18.0
2010-09-26,18.0
2010-09-27,17.0
2010-09-28,18.0
2010-09-29,17.0
2010-09-30,16.0
2010-10-01,16.0
2010-10-02,15.0
2010-10-03,14.0
2010-10-04,14.0
2010-10-05,15.0
2010-10-06,16.0
2010-10-07,15.0
2010-10-08,16.0
2010-10-09,18.0
2010-10-10,19.0
2010-10-11,20.0
2010-10-12,20.0
2010-10-13,21.0
2010-10-14,21.0
2010-10-15,21.0
2010-10-16,22.0
2010-10-17,21.0
2010-10-18,21.0
2010-10-19,19.0
2010-10-20,19.0
2010-10-21,19.0
2010-10-22,18.0
2010-10-23,19.0
2010-10-24,19.0
2010-10-25,20.0
2010-10-26,23.0
2010-10-27,23.0
2010-10-28,23.0
2010-10-29,23.0
2010-10-30,22.0
2010-10-31,23.0
2010-11-01,24.0
2010-11-02,25.0
2010-11-03,26.0
2010-11-04,27.0
2010-11-05,26.0
2010-11-06,27.0
2010-11-07,26.0
2010-11-08,22.0
2010-11-09,22.0
2010-11-10,21.0
2010-11-11,21.0
2010-11-12,19.0
2010-11-13,21.0
2010-11-14,21.0
2010-11-15,19.0
2010-11-16,19.0
2010-11-17,20.0
2010-11-18,21.0
2010-11-19,22.0
2010-11-20,23.0
2010-11-21,24.0
2010-11-22,22.0
2010-11-23,24.0
2010-11-24,24.0
2010-11-25,21.0
2010-11-26,22.0
2010-11-27,21.0
2010-11-28,20.0
2010-11-29,20.0
2010-11-30,19.0
2010-12-01,19.0
2010-12-02,18.0
2010-12-03,19.0
2010-12-04,17.0
2010-12-05,17.0
2010-12-06,16.0
2010-12-07,17.0
2010-12-08,18.0
2010-12-09,17.0
2010-12-10,18.0
2010-12-11,18.0
2010-12-12,19.0
2010-12-13,17.0
2010-12-14,17.0
2010-12-15,17.0
2010-12-16,17.0
2010-12-17,17.0
2010-12-18,21.0
2010-12-19,20.0
2010-12-20,19.0
2010-12-21,18.0
2010-12-22,20.0
2010-12-23,19.0
2010-12-24,17.0
2010-12-25,18.0
2010-12-26,18.0
2010-12-27,18.0
2010-12-28,18.0
2010-12-29,19.0
2010-12-30,19.0
2010-12-31,19.0
2011-01-01,21.0
2011-01-02,20.0
2011-01-03,20.0
2011-01-04,20.0
2011-01-05,21.0
2011-01-06,20.0
2011-01-07,19.0
2011-01-08,19.0
2011-01-09,21.0
2011-01-10,23.0
2011-01-11,22.0
2011-01-12,22.0
2011-01-13,22.0
2011-01-14,22.0
2011-01-15,22.0
2011-01-16,21.0
2011-01-17,16.0
2011-01-18,16.0
2011-01-19,16.0
2011-01-20,17.0
2011-01-21,15.0
2011-01-22,15.0
2011-01-23,16.0
2011-01-24,16.0
2011-01-25,15.0
2011-01-26,15.0
2011-01-27,15.0
2011-01-28,14.0
2011-01-29,15.0
2011-01-30,15.0
2011-01-31,13.0
2011-02-01,12.0
2011-02-02,13.0
2011-02-03,13.0
2011-02-04,12.0
2011-02-05,12.0
2011-02-06,12.0
2011-02-07,13.0
2011-02-08,11.0
2011-02-09,9.0
2011-02-10,9.0
2011-02-11,10.0
2011-02-12,10.0
2011-02-13,10.0
2011-02-14,10.0
2011-02-15,11.0
2011-02-16,12.0
2011-02-17,13.0
2011-02-18,13.0
2011-02-19,13.0
2011-02-20,14.0
2011-02-21,13.0
2011-02-22,12.0
2011-02-23,11.0
2011-02-24,11.0
2011-02-25,11.0
2011-02-26,11.0
2011-02-27,12.0
2011-02-28,11.0
2011-03-01,10.0
2011-03-02,10.0
2011-03-03,11.0
2011-03-04,10.0
2011-03-05,13.0
2011-03-06,14.0
2011-03-07,14.0
2011-03-08,14.0
2011-03-09,13.0
2011-03-10,12.0
2011-03-11,12.0
2011-03-12,13.0
2011-03-13,12.0
2011-03-14,12.0
2011-03-15,12.0
2011-03-16,12.0
2011-03-17,12.0
2011-03-18,12.0
2011-03-19,12.0
2011-03-20,13.0
2011-03-21,12.0
2011-03-22,11.0
2011-03-23,12.0
2011-03-24,12.0
2011-03-25,13.0
2011-03-26,13.0
2011-03-27,14.0
2011-03-28,14.0
2011-03-29,16.0
2011-03-30,17.0
2011-03-31,19.0
2011-04-01,19.0
2011-04-02,19.0
2011-04-03,19.0
2011-04-04,16.0
2011-04-05,17.0
2011-04-06,18.0
2011-04-07,18.0
2011-04-08,18.0
2011-04-09,20.0
2011-04-10,20.0
2011-04-11,20.0
2011-04-12,21.0
2011-04-13,22.0
2011-04-14,22.0
2011-04-15,22.0
2011-04-16,22.0
2011-04-17,21.0
2011-04-18,20.0
2011-04-19,20.0
2011-04-20,22.0
2011-04-21,23.0
2011-04-22,24.0
2011-04-23,26.0
2011-04-24,28.0
2011-04-25,29.0
2011-04-26,29.0
2011-04-27,30.0
2011-04-28,29.0
2011-04-29,29.0
2011-04-30,27.0
2011-05-01,27.0
2011-05-02,26.0
2011-05-03,27.0
2011-05-04,27.0
2011-05-05,25.0
2011-05-06,24.0
2011-05-07,24.0
2011-05-08,24.0
2011-05-09,22.0
2011-05-10,22.0
2011-05-11,22.0
2011-05-12,21.0
2011-05-13,20.0
2011-05-14,21.0
2011-05-15,21.0
2011-05-16,20.0
2011-05-17,20.0
2011-05-18,20.0
2011-05-19,21.0
2011-05-20,19.0
2011-05-21,19.0
2011-05-22,18.0
2011-05-23,16.0
2011-05-24,13.0
2011-05-25,13.0
2011-05-26,15.0
2011-05-27,14.0
2011-05-28,13.0
2011-05-29,13.0
2011-05-30,13.0
2011-05-31,15.0
2011-06-01,16.0
2011-06-02,15.0
2011-06-03,16.0
2011-06-04,16.0
2011-06-05,16.0
2011-06-06,16.0
2011-06-07,16.0
2011-06-08,16.0
2011-06-09,16.0
2011-06-10,16.0
2011-06-11,17.0
2011-06-12,19.0
2011-06-13,18.0
2011-06-14,20.0
2011-06-15,20.0
2011-06-16,21.0
2011-06-17,22.0
2011-06-18,20.0
2011-06-19,20.0
2011-06-20,20.0
2011-06-21,19.0
2011-06-22,20.0
2011-06-23,20.0
2011-06-24,19.0
2011-06-25,16.0
2011-06-26,16.0
2011-06-27,16.0
2011-06-28,17.0
2011-06-29,18.0
2011-06-30,16.0
2011-07-01,16.0
2011-07-02,17.0
2011-07-03,16.0
2011-07-04,17.0
2011-07-05,18.0
2011-07-06,18.0
2011-07-07,18.0
2011-07-08,18.0
2011-07-09,19.0
2011-07-10,21.0
2011-07-11,20.0
2011-07-12,18.0
2011-07-13,18.0
2011-07-14,18.0
2011-07-15,19.0
2011-07-16,19.0
2011-07-17,19.0
2011-07-18,19.0
2011-07-19,20.0
2011-07-20,20.0
2011-07-21,20.0
2011-07-22,19.0
2011-07-23,19.0
2011-07-24,19.0
2011-07-25,20.0
2011-07-26,24.0
2011-07-27,24.0
2011-07-28,22.0
2011-07-29,22.0
2011-07-30,23.0
2011-07-31,23.0
2011-08-01,24.0
2011-08-02,24.0
2011-08-03,24.0
2011-08-04,23.0
2011-08-05,23.0
2011-08-06,23.0
2011-08-07,23.0
2011-08-08,22.0
2011-08-09,19.0
2011-08-10,19.0
2011-08-11,19.0
2011-08-12,19.0
2011-08-13,17.0
2011-08-14,18.0
2011-08-15,17.0
2011-08-16,16.0
2011-08-17,16.0
2011-08-18,15.0
2011-08-19,14.0
2011-08-20,14.0
2011-08-21,14.0
2011-08-22,17.0
2011-08-23,19.0
2011-08-24,18.0
2011-08-25,15.0
2011-08-26,14.0
2011-08-27,15.0
2011-08-28,15.0
2011-08-29,14.0
2011-08-30,13.0
2011-08-31,11.0
2011-09-01,13.0
2011-09-02,12.0
2011-09-03,12.0
2011-09-04,13.0
2011-09-05,13.0
2011-09-06,13.0
2011-09-07,14.0
2011-09-08,15.0
2011-09-09,15.0
2011-09-10,15.0
2011-09-11,15.0
2011-09-12,15.0
2011-09-13,14.0
2011-09-14,15.0
2011-09-15,15.0
2011-09-16,16.0
2011-09-17,17.0
2011-09-18,17.0
2011-09-19,18.0
2011-09-20,20.0
2011-09-21,18.0
2011-09-22,16.0
2011-09-23,16.0
2011-09-24,15.0
2011-09-25,17.0
2011-09-26,16.0
2011-09-27,16.0
2011-09-28,19.0
2011-09-29,19.0
2011-09-30,19.0
2011-10-01,17.0
2011-10-02,17.0
2011-10-03,19.0
2011-10-04,18.0
2011-10-05,18.0
2011-10-06,18.0
2011-10-07,17.0
2011-10-08,16.0
2011-10-09,16.0
2011-10-10,18.0
2011-10-11,20.0
2011-10-12,20.0
2011-10-13,20.0
2011-10-14,20.0
2011-10-15,20.0
2011-10-16,20.0
2011-10-17,20.0
2011-10-18,20.0
2011-10-19,19.0
2011-10-20,17.0
2011-10-21,17.0
2011-10-22,17.0
2011-10-23,17.0
2011-10-24,18.0
2011-10-25,17.0
2011-10-26,17.0
2011-10-27,17.0
2011-10-28,15.0
2011-10-29,15.0
2011-10-30,15.0
2011-10-31,17.0
2011-11-01,17.0
2011-11-02,15.0
2011-11-03,15.0
2011-11-04,15.0
2011-11-05,16.0
2011-11-06,16.0
2011-11-07,16.0
2011-11-08,17.0
2011-11-09,16.0
2011-11-10,14.0
2011-11-11,15.0
2011-11-12,16.0
2011-11-13,15.0
2011-11-14,16.0
2011-11-15,16.0
2011-11-16,15.0
2011-11-17,15.0
2011-11-18,15.0
2011-11-19,15.0
2011-11-20,14.0
2011-11-21,14.0
2011-11-22,15.0
2011-11-23,14.0
2011-11-24,13.0
2011-11-25,13.0
2011-11-26,12.0
2011-11-27,11.0
2011-11-28,11.0
2011-11-29,12.0
2011-11-30,10.0
2011-12-01,10.0
2011-12-02,10.0
2011-12-03,10.0
2011-12-04,10.0
2011-12-05,9.0
2011-12-06,11.0
2011-12-07,11.0
2011-12-08,11.0
2011-12-09,10.0
2011-12-10,11.0
2011-12-11,10.0
2011-12-12,8.0
2011-12-13,8.0
2011-12-14,7.0
2011-12-15,6.0
2011-12-16,7.0
2011-12-17,8.0
2011-12-18,9.0
2011-12-19,10.0
2011-12-20,10.0
2011-12-21,11.0
2011-12-22,11.0
2011-12-23,11.0
2011-12-24,12.0
2011-12-25,12.0
2011-12-26,12.0
2011-12-27,12.0
2011-12-28,13.0
2011-12-29,12.0
2011-12-30,12.0
2011-12-31,12.0
2012-01-01,12.0
2012-01-02,12.0
2012-01-03,14.0
2012-01-04,14.0
2012-01-05,13.0
2012-01-06,14.0
2012-01-07,13.0
2012-01-08,14.0
2012-01-09,13.0
2012-01-10,13.0
2012-01-11,13.0
2012-01-12,14.0
2012-01-13,14.0
2012-01-14,14.0
2012-01-15,13.0
2012-01-16,12.0
2012-01-17,11.0
2012-01-18,10.0
2012-01-19,11.0
2012-01-20,12.0
2012-01-21,11.0
2012-01-22,11.0
2012-01-23,10.0
2012-01-24,10.0
2012-01-25,10.0
2012-01-26,10.0
2012-01-27,10.0
2012-01-28,10.0
2012-01-29,11.0
2012-01-30,11.0
2012-01-31,11.0
2012-02-01,13.0
2012-02-02,11.0
2012-02-03,11.0
2012-02-04,10.0
2012-02-05,9.0
2012-02-06,10.0
2012-02-07,9.0
2012-02-08,9.0
2012-02-09,10.0
2012-02-10,10.0
2012-02-11,9.0
2012-02-12,10.0
2012-02-13,11.0
2012-02-14,11.0
2012-02-15,11.0
2012-02-16,11.0
2012-02-17,11.0
2012-02-18,10.0
2012-02-19,9.0
2012-02-20,9.0
2012-02-21,9.0
2012-02-22,9.0
2012-02-23,10.0
2012-02-24,10.0
2012-02-25,10.0
2012-02-26,10.0
2012-02-27,10.0
2012-02-28,10.0
2012-02-29,11.0
2012-03-01,11.0
2012-03-02,9.0
2012-03-03,9.0
2012-03-04,12.0
2012-03-05,13.0
2012-03-06,14.0
2012-03-07,14.0
2012-03-08,14.0
2012-03-09,14.0
2012-03-10,14.0
2012-03-11,14.0
2012-03-12,14.0
2012-03-13,14.0
2012-03-14,13.0
2012-03-15,13.0
2012-03-16,15.0
2012-03-17,15.0
2012-03-18,15.0
2012-03-19,16.0
2012-03-20,16.0
2012-03-21,17.0
2012-03-22,17.0
2012-03-23,18.0
2012-03-24,18.0
2012-03-25,20.0
2012-03-26,20.0
2012-03-27,20.0
2012-03-28,20.0
2012-03-29,19.0
2012-03-30,19.0
2012-03-31,19.0
2012-04-01,20.0
2012-04-02,22.0
2012-04-03,19.0
2012-04-04,18.0
2012-04-05,17.0
2012-04-06,16.0
2012-04-07,17.0
2012-04-08,19.0
2012-04-09,19.0
2012-04-10,19.0
2012-04-11,19.0
2012-04-12,18.0
2012-04-13,19.0
2012-04-14,21.0
2012-04-15,19.0
2012-04-16,21.0
2012-04-17,22.0
2012-04-18,22.0
2012-04-19,21.0
2012-04-20,20.0
2012-04-21,20.0
2012-04-22,19.0
2012-04-23,21.0
2012-04-24,20.0
2012-04-25,20.0
2012-04-26,19.0
2012-04-27,20.0
2012-04-28,21.0
2012-04-29,20.0
2012-04-30,20.0
2012-05-01,19.0
2012-05-02,17.0
2012-05-03,18.0
2012-05-04,18.0
2012-05-05,19.0
2012-05-06,20.0
2012-05-07,19.0
2012-05-08,20.0
2012-05-09,20.0
2012-05-10,20.0
2012-05-11,20.0
2012-05-12,20.0
2012-05-13,22.0
2012-05-14,21.0
2012-05-15,21.0
2012-05-16,20.0
2012-05-17,20.0
2012-05-18,19.0
2012-05-19,19.0
2012-05-20,20.0
2012-05-21,20.0
2012-05-22,21.0
2012-05-23,19.0
2012-05-24,20.0
2012-05-25,21.0
2012-05-26,23.0
2012-05-27,22.0
2012-05-28,24.0
2012-05-29,25.0
2012-05-30,25.0
2012-05-31,26.0
2012-06-01,26.0
2012-06-02,27.0
2012-06-03,28.0
2012-06-04,29.0
2012-06-05,30.0
2012-06-06,31.0
2012-06-07,28.0
2012-06-08,28.0
2012-06-09,28.0
2012-06-10,28.0
2012-06-11,29.0
2012-06-12,26.0
2012-06-13,25.0
2012-06-14,25.0
2012-06-15,25.0
2012-06-16,24.0
2012-06-17,24.0
2012-06-18,24.0
2012-06-19,24.0
2012-06-20,25.0
2012-06-21,24.0
2012-06-22,23.0
2012-06-23,21.0
2012-06-24,21.0
2012-06-25,19.0
2012-06-26,20.0
2012-06-27,17.0
2012-06-28,16.0
2012-06-29,17.0
2012-06-30,16.0
2012-07-01,16.0
2012-07-02,14.0
2012-07-03,14.0
2012-07-04,12.0
2012-07-05,11.0
2012-07-06,11.0
2012-07-07,11.0
2012-07-08,10.0
2012-07-09,13.0
2012-07-10,14.0
2012-07-11,13.0
2012-07-12,13.0
2012-07-13,13.0
2012-07-14,13.0
2012-07-15,12.0
2012-07-16,13.0
2012-07-17,14.0
2012-07-18,14.0
2012-07-19,13.0
2012-07-20,12.0
2012-07-21,12.0
2012-07-22,12.0
2012-07-23,13.0
2012-07-24,12.0
2012-07-25,12.0
2012-07-26,13.0
2012-07-27,14.0
2012-07-28,16.0
2012-07-29,15.0
2012-07-30,16.0
2012-07-31,17.0
2012-08-01,18.0
2012-08-02,18.0
2012-08-03,19.0
2012-08-04,20.0
2012-08-05,19.0
2012-08-06,20.0
2012-08-07,20.0
2012-08-08,17.0
2012-08-09,16.0
2012-08-10,17.0
2012-08-11,17.0
2012-08-12,18.0
2012-08-13,18.0
2012-08-14,18.0
2012-08-15,17.0
2012-08-16,18.0
2012-08-17,20.0
2012-08-18,20.0
2012-08-19,21.0
2012-08-20,22.0
2012-08-21,23.0
2012-08-22,23.0
2012-08-23,24.0
2012-08-24,26.0
2012-08-25,24.0
2012-08-26,23.0
2012-08-27,21.0
2012-08-28,21.0
2012-08-29,20.0
2012-08-30,20.0
2012-08-31,19.0
2012-09-01,19.0
2012-09-02,19.0
2012-09-03,21.0
2012-09-04,22.0
2012-09-05,21.0
2012-09-06,22.0
2012-09-07,22.0
2012-09-08,24.0
2012-09-09,23.0
2012-09-10,23.0
2012-09-11,22.0
2012-09-12,22.0
2012-09-13,22.0
2012-09-14,22.0
2012-09-15,21.0
2012-09-16,19.0
2012-09-17,20.0
2012-09-18,20.0
2012-09-19,19.0
2012-09-20,19.0
2012-09-21,19.0
2012-09-22,19.0
2012-09-23,19.0
2012-09-24,21.0
2012-09-25,23.0
2012-09-26,24.0
2012-09-27,26.0
2012-09-28,26.0
2012-09-29,25.0
2012-09-30,26.0
2012-10-01,26.0
2012-10-02,25.0
2012-10-03,23.0
2012-10-04,22.0
2012-10-05,22.0
2012-10-06,21.0
2012-10-07,22.0
2012-10-08,21.0
2012-10-09,21.0
2012-10-10,21.0
2012-10-11,22.0
2012-10-12,22.0
2012-10-13,23.0
2012-10-14,24.0
2012-10-15,23.0
2012-10-16,23.0
2012-10-17,22.0
2012-10-18,21.0
2012-10-19,21.0
2012-10-20,22.0
2012-10-21,21.0
2012-10-22,20.0
2012-10-23,18.0
2012-10-24,18.0
2012-10-25,17.0
2012-10-26,16.0
2012-10-27,14.0
2012-10-28,14.0
2012-10-29,14.0
2012-10-30,13.0
2012-10-31,15.0
2012-11-01,16.0
2012-11-02,14.0
2012-11-03,16.0
2012-11-04,17.0
2012-11-05,18.0
2012-11-06,18.0
2012-11-07,17.0
2012-11-08,17.0
2012-11-09,18.0
2012-11-10,17.0
2012-11-11,17.0
2012-11-12,17.0
2012-11-13,18.0
2012-11-14,19.0
2012-11-15,19.0
2012-11-16,20.0
2012-11-17,20.0
2012-11-18,21.0
2012-11-19,19.0
2012-11-20,20.0
2012-11-21,21.0
2012-11-22,22.0
2012-11-23,20.0
2012-11-24,20.0
2012-11-25,22.0
2012-11-26,23.0
2012-11-27,23.0
2012-11-28,23.0
2012-11-29,23.0
2012-11-30,20.0
2012-12-01,20.0
2012-12-02,21.0
2012-12-03,19.0
2012-12-04,18.0
2012-12-05,17.0
2012-12-06,17.0
2012-12-07,19.0
2012-12-08,20.0
2012-12-09,19.0
2012-12-10,20.0
2012-12-11,20.0
2012-12-12,19.0
2012-12-13,18.0
2012-12-14,17.0
2012-12-15,18.0
2012-12-16,18.0
2012-12-17,19.0
2012-12-18,18.0
2012-12-19,18.0
2012-12-20,18.0
2012-12-21,17.0
2012-12-22,16.0
2012-12-23,16.0
2012-12-24,16.0
2012-12-25,14.0
2012-12-26,13.0
2012-12-27,13.0
2012-12-28,14.0
2012-12-29,14.0
2012-12-30,14.0
2012-12-31,14.0
2013-01-01,13.0
2013-01-02,13.0
2013-01-03,14.0
2013-01-04,14.0
2013-01-05,13.0
2013-01-06,11.0
2013-01-07,10.0
2013-01-08,10.0
2013-01-09,9.0
2013-01-10,9.0
2013-01-11,12.0
2013-01-12,12.0
2013-01-13,13.0
2013-01-14,12.0
2013-01-15,12.0
2013-01-16,12.0
2013-01-17,12.0
2013-01-18,12.0
2013-01-19,12.0
2013-01-20,12.0
2013-01-21,12.0
2013-01-22,13.0
2013-01-23,12.0
2013-01-24,12.0
2013-01-25,12.0
2013-01-26,12.0
2013-01-27,12.0
2013-01-28,13.0
2013-01-29,14.0
2013-01-30,14.0
2013-01-31,14.0
2013-02-01,15.0
2013-02-02,15.0
2013-02-03,17.0
2013-02-04,18.0
2013-02-05,19.0
2013-02-06,19.0
2013-02-07,19.0
2013-02-08,20.0
2013-02-09,20.0
2013-02-10,17.0
2013-02-11,17.0
2013-02-12,16.0
2013-02-13,16.0
2013-02-14,15.0
2013-02-15,14.0
2013-02-16,14.0
2013-02-17,14.0
2013-02-18,14.0
2013-02-19,15.0
2013-02-20,15.0
2013-02-21,15.0
2013-02-22,15.0
2013-02-23,17.0
2013-02-24,19.0
2013-02-25,19.0
2013-02-26,18.0
2013-02-27,17.0
2013-02-28,16.0
2013-03-01,15.0
2013-03-02,18.0
2013-03-03,19.0
2013-03-04,19.0
2013-03-05,17.0
2013-03-06,16.0
2013-03-07,15.0
2013-03-08,16.0
2013-03-09,16.0
2013-03-10,15.0
2013-03-11,15.0
2013-03-12,15.0
2013-03-13,14.0
2013-03-14,15.0
2013-03-15,15.0
2013-03-16,15.0
2013-03-17,18.0
2013-03-18,20.0
2013-03-19,24.0
2013-03-20,23.0
2013-03-21,22.0
2013-03-22,22.0
2013-03-23,21.0
2013-03-24,21.0
2013-03-25,19.0
2013-03-26,17.0
2013-03-27,17.0
2013-03-28,18.0
2013-03-29,19.0
2013-03-30,19.0
2013-03-31,20.0
2013-04-01,19.0
2013-04-02,17.0
2013-04-03,17.0
2013-04-04,17.0
2013-04-05,17.0
2013-04-06,18.0
2013-04-07,18.0
2013-04-08,20.0
2013-04-09,21.0
2013-04-10,22.0
2013-04-11,22.0
2013-04-12,23.0
2013-04-13,22.0
2013-04-14,22.0
2013-04-15,22.0
2013-04-16,20.0
2013-04-17,19.0
2013-04-18,15.0
2013-04-19,17.0
2013-04-20,18.0
2013-04-21,18.0
2013-04-22,18.0
2013-04-23,18.0
2013-04-24,18.0
2013-04-25,20.0
2013-04-26,20.0
2013-04-27,19.0
2013-04-28,19.0
2013-04-29,20.0
2013-04-30,20.0
2013-05-01,18.0
2013-05-02,19.0
2013-05-03,18.0
2013-05-04,18.0
2013-05-05,18.0
2013-05-06,18.0
2013-05-07,19.0
2013-05-08,19.0
2013-05-09,18.0
2013-05-10,17.0
2013-05-11,18.0
2013-05-12,17.0
2013-05-13,18.0
2013-05-14,18.0
2013-05-15,18.0
2013-05-16,17.0
2013-05-17,17.0
2013-05-18,17.0
2013-05-19,15.0
2013-05-20,15.0
2013-05-21,15.0
2013-05-22,17.0
2013-05-23,17.0
2013-05-24,19.0
2013-05-25,18.0
2013-05-26,18.0
2013-05-27,18.0
2013-05-28,18.0
2013-05-29,17.0
2013-05-30,18.0
2013-05-31,19.0
2013-06-01,19.0
2013-06-02,19.0
2013-06-03,20.0
2013-06-04,22.0
2013-06-05,22.0
2013-06-06,21.0
2013-06-07,19.0
2013-06-08,19.0
2013-06-09,20.0
2013-06-10,19.0
2013-06-11,21.0
2013-06-12,20.0
2013-06-13,20.0
2013-06-14,20.0
2013-06-15,22.0
2013-06-16,21.0
2013-06-17,22.0
2013-06-18,22.0
2013-06-19,21.0
2013-06-20,22.0
2013-06-21,21.0
2013-06-22,25.0
2013-06-23,25.0
2013-06-24,24.0
2013-06-25,26.0
2013-06-26,26.0
2013-06-27,28.0
2013-06-28,29.0
2013-06-29,28.0
2013-06-30,27.0
2013-07-01,26.0
2013-07-02,27.0
2013-07-03,26.0
2013-07-04,24.0
2013-07-05,26.0
2013-07-06,25.0
2013-07-07,25.0
2013-07-08,25.0
2013-07-09,25.0
2013-07-10,27.0
2013-07-11,26.0
2013-07-12,26.0
2013-07-13,27.0
2013-07-14,27.0
2013-07-15,26.0
2013-07-16,27.0
2013-07-17,26.0
2013-07-18,26.0
2013-07-19,27.0
2013-07-20,26.0
2013-07-21,25.0
2013-07-22,25.0
2013-07-23,23.0
2013-07-24,23.0
2013-07-25,21.0
2013-07-26,24.0
2013-07-27,21.0
2013-07-28,20.0
2013-07-29,19.0
2013-07-30,21.0
2013-07-31,22.0
2013-08-01,22.0
2013-08-02,23.0
2013-08-03,24.0
2013-08-04,21.0
2013-08-05,21.0
2013-08-06,21.0
2013-08-07,21.0
2013-08-08,20.0
2013-08-09,18.0
2013-08-10,17.0
2013-08-11,17.0
2013-08-12,18.0
2013-08-13,20.0
2013-08-14,19.0
2013-08-15,18.0
2013-08-16,18.0
2013-08-17,19.0
2013-08-18,18.0
2013-08-19,18.0
2013-08-20,20.0
2013-08-21,16.0
2013-08-22,16.0
2013-08-23,17.0
2013-08-24,18.0
2013-08-25,16.0
2013-08-26,16.0
2013-08-27,17.0
2013-08-28,17.0
2013-08-29,17.0
2013-08-30,16.0
2013-08-31,15.0
2013-09-01,15.0
2013-09-02,15.0
2013-09-03,16.0
2013-09-04,17.0
2013-09-05,17.0
2013-09-06,20.0
2013-09-07,20.0
2013-09-08,22.0
2013-09-09,23.0
2013-09-10,24.0
2013-09-11,22.0
2013-09-12,21.0
2013-09-13,21.0
2013-09-14,22.0
2013-09-15,22.0
2013-09-16,21.0
2013-09-17,22.0
2013-09-18,23.0
2013-09-19,22.0
2013-09-20,23.0
2013-09-21,24.0
2013-09-22,23.0
2013-09-23,22.0
2013-09-24,23.0
2013-09-25,23.0
2013-09-26,23.0
2013-09-27,23.0
2013-09-28,21.0
2013-09-29,21.0
2013-09-30,23.0
2013-10-01,22.0
2013-10-02,21.0
2013-10-03,20.0
2013-10-04,19.0
2013-10-05,19.0
2013-10-06,16.0
2013-10-07,16.0
2013-10-08,14.0
2013-10-09,13.0
2013-10-10,12.0
2013-10-11,13.0
2013-10-12,12.0
2013-10-13,12.0
2013-10-14,13.0
2013-10-15,14.0
2013-10-16,14.0
2013-10-17,14.0
2013-10-18,14.0
2013-10-19,15.0
2013-10-20,16.0
2013-10-21,15.0
2013-10-22,16.0
2013-10-23,17.0
2013-10-24,16.0
2013-10-25,17.0
2013-10-26,17.0
2013-10-27,17.0
2013-10-28,17.0
2013-10-29,18.0
2013-10-30,17.0
2013-10-31,19.0
2013-11-01,19.0
2013-11-02,19.0
2013-11-03,19.0
2013-11-04,19.0
2013-11-05,22.0
2013-11-06,23.0
2013-11-07,25.0
2013-11-08,25.0
2013-11-09,27.0
2013-11-10,26.0
2013-11-11,26.0
2013-11-12,27.0
2013-11-13,26.0
2013-11-14,26.0
2013-11-15,27.0
2013-11-16,28.0
2013-11-17,28.0
2013-11-18,26.0
2013-11-19,25.0
2013-11-20,26.0
2013-11-21,25.0
2013-11-22,25.0
2013-11-23,25.0
2013-11-24,24.0
2013-11-25,23.0
2013-11-26,24.0
2013-11-27,24.0
2013-11-28,23.0
2013-11-29,22.0
2013-11-30,21.0
2013-12-01,21.0
2013-12-02,21.0
2013-12-03,21.0
2013-12-04,22.0
2013-12-05,20.0
2013-12-06,19.0
2013-12-07,17.0
2013-12-08,17.0
2013-12-09,15.0
2013-12-10,15.0
2013-12-11,16.0
2013-12-12,16.0
2013-12-13,15.0
2013-12-14,16.0
2013-12-15,16.0
