LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Baltimore City,02,46,025-016,LIBERTARIAN,3,0,1,1,6
Baltimore City,02,46,025-016,OTHER PARTIES,1,0,0,2,6
Baltimore City,02,46,025-016,REPUBLICAN,116,3,2,7,249
Baltimore City,02,46,025-016,UNAFFILIATED,59,3,3,6,286
Baltimore City,07,40,025-017,DEMOCRAT,91,33,6,0,228
Baltimore City,07,40,025-017,GREEN,0,0,0,0,0
Baltimore City,07,40,025-017,LIBERTARIAN,1,0,0,0,3
Baltimore City,07,40,025-017,OTHER PARTIES,2,0,0,0,3
Baltimore City,07,40,025-017,REPUBLICAN,29,3,1,1,54
Baltimore City,07,40,025-017,UNAFFILIATED,16,5,2,0,52
Baltimore City,07,40,025-018,DEMOCRAT,72,27,6,4,172
Baltimore City,07,40,025-018,GREEN,2,0,0,0,2
Baltimore City,07,40,025-018,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,40,025-018,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,40,025-018,REPUBLICAN,16,1,1,1,33
Baltimore City,07,40,025-018,UNAFFILIATED,11,1,0,3,27
Baltimore City,02,46,026-001,DEMOCRAT,81,3,2,2,192
Baltimore City,02,46,026-001,GREEN,1,0,0,0,2
Baltimore City,02,46,026-001,LIBERTARIAN,2,0,0,0,3
Baltimore City,02,46,026-001,OTHER PARTIES,0,0,0,1,3
Baltimore City,02,46,026-001,REPUBLICAN,35,1,1,4,57
Baltimore City,02,46,026-001,UNAFFILIATED,24,0,0,2,56
Baltimore City,02,46,026-002,DEMOCRAT,419,85,8,30,1158
Baltimore City,02,46,026-002,GREEN,0,1,0,0,5
Baltimore City,02,46,026-002,LIBERTARIAN,1,1,0,0,6
Baltimore City,02,46,026-002,OTHER PARTIES,1,1,0,0,8
Baltimore City,02,46,026-002,REPUBLICAN,52,10,4,2,171
Baltimore City,02,46,026-002,UNAFFILIATED,68,7,4,3,195
Baltimore City,02,46,026-003,DEMOCRAT,312,79,13,57,734
Baltimore City,02,46,026-003,GREEN,0,0,0,1,2
Baltimore City,02,46,026-003,LIBERTARIAN,3,0,0,0,6
Baltimore City,02,46,026-003,OTHER PARTIES,0,0,0,1,5
Baltimore City,02,46,026-003,REPUBLICAN,120,33,6,15,264
Baltimore City,02,46,026-003,UNAFFILIATED,69,9,5,13,203
Baltimore City,02,46,026-004,DEMOCRAT,249,42,19,19,603
Baltimore City,02,46,026-004,GREEN,0,0,0,0,1
Baltimore City,02,46,026-004,LIBERTARIAN,0,0,1,0,7
Baltimore City,02,46,026-004,OTHER PARTIES,3,2,0,0,6
Baltimore City,02,46,026-004,REPUBLICAN,75,11,7,3,165
Baltimore City,02,46,026-004,UNAFFILIATED,45,16,4,2,158
Baltimore City,03,46,026-005,DEMOCRAT,136,33,5,4,308
Baltimore City,03,46,026-005,GREEN,0,0,0,0,1
Baltimore City,03,46,026-005,LIBERTARIAN,3,0,0,0,7
Baltimore City,03,46,026-005,OTHER PARTIES,1,0,0,2,6
Baltimore City,03,46,026-005,REPUBLICAN,40,8,0,2,81
Baltimore City,03,46,026-005,UNAFFILIATED,24,8,0,2,84
Baltimore City,03,46,026-006,DEMOCRAT,246,51,17,12,611
Baltimore City,03,46,026-006,GREEN,0,0,0,0,1
Baltimore City,03,46,026-006,LIBERTARIAN,1,2,0,0,5
Baltimore City,03,46,026-006,OTHER PARTIES,2,1,0,0,4
Baltimore City,03,46,026-006,REPUBLICAN,75,6,3,3,142
Baltimore City,03,46,026-006,UNAFFILIATED,62,11,4,3,164
Baltimore City,03,46,026-007,DEMOCRAT,223,93,19,20,614
Baltimore City,03,46,026-007,GREEN,2,0,0,0,5
Baltimore City,03,46,026-007,LIBERTARIAN,6,1,0,1,11
Baltimore City,03,46,026-007,OTHER PARTIES,2,0,0,2,5
Baltimore City,03,46,026-007,REPUBLICAN,131,38,6,7,252
Baltimore City,03,46,026-007,UNAFFILIATED,92,24,6,5,220
Baltimore City,03,46,026-008,DEMOCRAT,271,151,35,10,573
Baltimore City,03,46,026-008,GREEN,1,1,0,0,2
Baltimore City,03,46,026-008,LIBERTARIAN,8,0,1,0,11
Baltimore City,03,46,026-008,OTHER PARTIES,4,3,0,6,11
Baltimore City,03,46,026-008,REPUBLICAN,180,30,21,5,340
Baltimore City,03,46,026-008,UNAFFILIATED,137,47,19,7,327
Baltimore City,03,46,026-009,DEMOCRAT,493,474,56,38,1449
Baltimore City,03,46,026-009,GREEN,0,1,1,0,2
Baltimore City,03,46,026-009,LIBERTARIAN,9,9,0,1,26
Baltimore City,03,46,026-009,OTHER PARTIES,5,4,0,5,16
Baltimore City,03,46,026-009,REPUBLICAN,300,124,23,13,665
Baltimore City,03,46,026-009,UNAFFILIATED,230,129,12,11,594
Baltimore City,03,46,026-010,DEMOCRAT,477,257,32,42,1360
Baltimore City,03,46,026-010,GREEN,4,1,0,0,9
Baltimore City,03,46,026-010,LIBERTARIAN,10,6,2,2,23
Baltimore City,03,46,026-010,OTHER PARTIES,2,3,1,0,16
Baltimore City,03,46,026-010,REPUBLICAN,115,34,2,5,269
Baltimore City,03,46,026-010,UNAFFILIATED,86,49,9,10,323
Baltimore City,03,46,026-011,DEMOCRAT,189,90,13,10,636
Baltimore City,03,46,026-011,GREEN,1,1,0,0,5
Baltimore City,03,46,026-011,LIBERTARIAN,2,0,0,0,7
Baltimore City,03,46,026-011,OTHER PARTIES,1,2,0,0,6
Baltimore City,03,46,026-011,REPUBLICAN,44,16,2,1,113
Baltimore City,03,46,026-011,UNAFFILIATED,35,16,3,2,135
Baltimore City,07,46,026-012,DEMOCRAT,194,29,6,25,458
Baltimore City,07,46,026-012,GREEN,0,0,0,0,1
Baltimore City,07,46,026-012,LIBERTARIAN,0,0,0,0,1
Baltimore City,07,46,026-012,OTHER PARTIES,0,0,0,0,3
Baltimore City,07,46,026-012,REPUBLICAN,9,3,0,2,37
Baltimore City,07,46,026-012,UNAFFILIATED,10,1,0,3,54
Baltimore City,03,45,026-013,DEMOCRAT,204,16,2,10,457
Baltimore City,03,45,026-013,GREEN,2,0,0,0,3
Baltimore City,03,45,026-013,LIBERTARIAN,3,0,0,0,2
Baltimore City,03,45,026-013,OTHER PARTIES,3,1,0,0,7
Baltimore City,03,45,026-013,REPUBLICAN,87,15,3,3,178
Baltimore City,03,45,026-013,UNAFFILIATED,50,4,4,1,158
Baltimore City,03,45,026-014,DEMOCRAT,174,23,2,4,396
Baltimore City,03,45,026-014,GREEN,1,0,0,0,4
Baltimore City,03,45,026-014,LIBERTARIAN,2,0,0,0,6
Baltimore City,03,45,026-014,OTHER PARTIES,1,0,0,0,6
Baltimore City,03,45,026-014,REPUBLICAN,90,7,3,5,179
Baltimore City,03,45,026-014,UNAFFILIATED,45,3,1,4,124
Baltimore City,02,45,026-015,DEMOCRAT,449,313,15,36,1265
Baltimore City,02,45,026-015,GREEN,0,0,0,0,2
Baltimore City,02,45,026-015,LIBERTARIAN,1,0,0,0,2
Baltimore City,02,45,026-015,OTHER PARTIES,0,0,0,1,3
Baltimore City,02,45,026-015,REPUBLICAN,13,13,1,1,65
Baltimore City,02,45,026-015,UNAFFILIATED,33,13,3,5,114
Baltimore City,02,45,026-016,DEMOCRAT,336,318,14,135,1085
Baltimore City,02,45,026-016,GREEN,1,0,0,1,3
Baltimore City,02,45,026-016,LIBERTARIAN,0,0,1,0,2
Baltimore City,02,45,026-016,OTHER PARTIES,0,0,0,1,3
Baltimore City,02,45,026-016,REPUBLICAN,8,4,0,6,33
Baltimore City,02,45,026-016,UNAFFILIATED,23,5,0,7,96
Baltimore City,03,45,026-017,DEMOCRAT,181,45,8,23,374
Baltimore City,03,45,026-017,GREEN,0,0,0,0,2
Baltimore City,03,45,026-017,LIBERTARIAN,0,0,0,0,0
Baltimore City,03,45,026-017,OTHER PARTIES,0,0,0,0,1
Baltimore City,03,45,026-017,REPUBLICAN,4,0,0,4,12
Baltimore City,03,45,026-017,UNAFFILIATED,8,1,0,2,26
Baltimore City,03,45,026-018,DEMOCRAT,351,222,6,42,940
Baltimore City,03,45,026-018,GREEN,1,0,0,0,1
Baltimore City,03,45,026-018,LIBERTARIAN,2,0,0,0,3
Baltimore City,03,45,026-018,OTHER PARTIES,2,0,0,0,3
Baltimore City,03,45,026-018,REPUBLICAN,12,8,2,0,39
Baltimore City,03,45,026-018,UNAFFILIATED,29,3,0,3,70
Baltimore City,07,45,026-019,DEMOCRAT,489,194,16,58,1161
Baltimore City,07,45,026-019,GREEN,0,1,0,0,1
Baltimore City,07,45,026-019,LIBERTARIAN,2,1,0,1,4
Baltimore City,07,45,026-019,OTHER PARTIES,1,0,0,1,3
Baltimore City,07,45,026-019,REPUBLICAN,10,4,2,1,38
Baltimore City,07,45,026-019,UNAFFILIATED,33,11,3,2,111
Baltimore City,07,45,026-020,DEMOCRAT,238,101,6,25,619
Baltimore City,07,45,026-020,GREEN,0,0,0,0,0
Baltimore City,07,45,026-020,LIBERTARIAN,1,0,0,0,1
Baltimore City,07,45,026-020,OTHER PARTIES,0,0,0,0,2
Baltimore City,07,45,026-020,REPUBLICAN,8,1,0,4,25
Baltimore City,07,45,026-020,UNAFFILIATED,16,2,0,2,58
Baltimore City,03,45,026-021,DEMOCRAT,325,130,12,72,777
Baltimore City,03,45,026-021,GREEN,1,0,0,0,2
Baltimore City,03,45,026-021,LIBERTARIAN,0,0,0,0,1
Baltimore City,03,45,026-021,OTHER PARTIES,0,0,0,1,4
Baltimore City,03,45,026-021,REPUBLICAN,5,1,3,1,26
Baltimore City,03,45,026-021,UNAFFILIATED,15,2,1,6,63
Baltimore City,02,45,026-022,DEMOCRAT,218,133,11,5,584
Baltimore City,02,45,026-022,GREEN,1,0,0,0,1
Baltimore City,02,45,026-022,LIBERTARIAN,0,0,0,0,0
Baltimore City,02,45,026-022,OTHER PARTIES,1,0,0,0,1
Baltimore City,02,45,026-022,REPUBLICAN,7,4,0,1,28
Baltimore City,02,45,026-022,UNAFFILIATED,23,9,1,0,72
Baltimore City,02,45,026-023,DEMOCRAT,357,191,15,22,948
Baltimore City,02,45,026-023,GREEN,1,2,0,0,4
Baltimore City,02,45,026-023,LIBERTARIAN,2,0,0,0,4
Baltimore City,02,45,026-023,OTHER PARTIES,1,0,0,0,5
Baltimore City,02,45,026-023,REPUBLICAN,16,3,1,0,46
Baltimore City,02,45,026-023,UNAFFILIATED,30,10,0,1,90
Baltimore City,02,45,026-024,DEMOCRAT,546,462,33,63,1750
Baltimore City,02,45,026-024,GREEN,1,1,0,0,7
Baltimore City,02,45,026-024,LIBERTARIAN,1,1,0,0,4
Baltimore City,02,45,026-024,OTHER PARTIES,1,3,0,0,8
Baltimore City,02,45,026-024,REPUBLICAN,15,8,2,1,57
Baltimore City,02,45,026-024,UNAFFILIATED,36,12,1,6,131
Baltimore City,02,45,026-025,DEMOCRAT,422,238,53,51,1258
Baltimore City,02,45,026-025,GREEN,0,0,0,0,2
Baltimore City,02,45,026-025,LIBERTARIAN,0,1,0,1,3
Baltimore City,02,45,026-025,OTHER PARTIES,1,0,0,0,5
Baltimore City,02,45,026-025,REPUBLICAN,16,3,4,3,51
Baltimore City,02,45,026-025,UNAFFILIATED,41,12,0,5,145
Baltimore City,02,45,026-026,DEMOCRAT,440,312,15,25,1283
Baltimore City,02,45,026-026,GREEN,0,0,0,0,0
Baltimore City,02,45,026-026,LIBERTARIAN,2,0,0,1,5
Baltimore City,02,45,026-026,OTHER PARTIES,2,1,1,0,5
Baltimore City,02,45,026-026,REPUBLICAN,34,22,3,0,136
Baltimore City,02,45,026-026,UNAFFILIATED,45,21,7,6,154
Baltimore City,02,45,026-027,DEMOCRAT,359,333,24,47,1114
Baltimore City,02,45,026-027,GREEN,1,0,0,0,2
Baltimore City,02,45,026-027,LIBERTARIAN,1,0,0,0,1
Baltimore City,02,45,026-027,OTHER PARTIES,3,2,1,0,9
Baltimore City,02,45,026-027,REPUBLICAN,29,8,6,3,81
Baltimore City,02,45,026-027,UNAFFILIATED,28,18,1,2,119
Baltimore City,02,45,026-028,DEMOCRAT,249,328,16,6,954
Baltimore City,02,45,026-028,GREEN,0,1,0,0,1
Baltimore City,02,45,026-028,LIBERTARIAN,0,0,0,0,0
Baltimore City,02,45,026-028,OTHER PARTIES,1,0,0,1,3
Baltimore City,02,45,026-028,REPUBLICAN,13,12,2,2,56
Baltimore City,02,45,026-028,UNAFFILIATED,20,9,1,1,83
Baltimore City,02,45,026-029,DEMOCRAT,1034,987,59,35,3372
Baltimore City,02,45,026-029,GREEN,0,1,0,0,5
Baltimore City,02,45,026-029,LIBERTARIAN,0,3,0,0,5
Baltimore City,02,45,026-029,OTHER PARTIES,2,1,0,1,7
Baltimore City,02,45,026-029,REPUBLICAN,38,24,7,2,166
Baltimore City,02,45,026-029,UNAFFILIATED,65,40,6,4,320
Baltimore City,02,45,026-030,DEMOCRAT,296,136,8,11,649
Baltimore City,02,45,026-030,GREEN,0,0,0,0,2
Baltimore City,02,45,026-030,LIBERTARIAN,0,0,0,0,3
Baltimore City,02,45,026-030,OTHER PARTIES,2,0,0,0,4
Baltimore City,02,45,026-030,REPUBLICAN,37,12,2,1,97
Baltimore City,02,45,026-030,UNAFFILIATED,30,18,0,0,102
Baltimore City,02,45,026-031,DEMOCRAT,191,103,8,7,471
Baltimore City,02,45,026-031,GREEN,1,0,0,0,3
Baltimore City,02,45,026-031,LIBERTARIAN,1,0,0,0,1
Baltimore City,02,45,026-031,OTHER PARTIES,3,0,0,0,5
Baltimore City,02,45,026-031,REPUBLICAN,77,16,0,2,133
Baltimore City,02,45,026-031,UNAFFILIATED,44,11,3,3,94
Baltimore City,02,45,026-032,DEMOCRAT,574,312,19,10,1460
Baltimore City,02,45,026-032,GREEN,1,0,0,0,2
Baltimore City,02,45,026-032,LIBERTARIAN,3,0,0,0,4
Baltimore City,02,45,026-032,OTHER PARTIES,0,0,0,1,3
Baltimore City,02,45,026-032,REPUBLICAN,27,8,0,1,70
Baltimore City,02,45,026-032,UNAFFILIATED,42,15,0,1,138
Baltimore City,02,45,026-033,DEMOCRAT,488,306,11,19,1286
Baltimore City,02,45,026-033,GREEN,1,0,0,0,3
Baltimore City,02,45,026-033,LIBERTARIAN,0,0,0,0,0
Baltimore City,02,45,026-033,OTHER PARTIES,1,1,0,1,5
Baltimore City,02,45,026-033,REPUBLICAN,7,6,2,1,54
Baltimore City,02,45,026-033,UNAFFILIATED,22,10,0,3,101
Baltimore City,02,45,027-001,DEMOCRAT,603,421,31,60,1628
Baltimore City,02,45,027-001,GREEN,5,3,0,0,9
Baltimore City,02,45,027-001,LIBERTARIAN,2,3,0,0,7
Baltimore City,02,45,027-001,OTHER PARTIES,1,1,1,0,13
Baltimore City,02,45,027-001,REPUBLICAN,49,36,5,3,162
Baltimore City,02,45,027-001,UNAFFILIATED,67,29,3,7,203
Baltimore City,03,45,027-002,DEMOCRAT,262,94,18,6,440
Baltimore City,03,45,027-002,GREEN,4,2,0,0,9
Baltimore City,03,45,027-002,LIBERTARIAN,1,1,0,0,4
Baltimore City,03,45,027-002,OTHER PARTIES,0,1,0,0,3
Baltimore City,03,45,027-002,REPUBLICAN,36,2,2,1,50
Baltimore City,03,45,027-002,UNAFFILIATED,40,6,1,1,63
Baltimore City,03,45,027-003,DEMOCRAT,194,130,21,10,464
Baltimore City,03,45,027-003,GREEN,2,1,0,0,3
Baltimore City,03,45,027-003,LIBERTARIAN,1,1,0,0,2
Baltimore City,03,45,027-003,OTHER PARTIES,0,0,0,0,1
Baltimore City,03,45,027-003,REPUBLICAN,18,13,1,2,54
Baltimore City,03,45,027-003,UNAFFILIATED,28,13,2,1,71
Baltimore City,03,45,027-004,DEMOCRAT,188,69,10,8,422
Baltimore City,03,45,027-004,GREEN,1,0,0,0,1
Baltimore City,03,45,027-004,LIBERTARIAN,2,0,0,0,2
Baltimore City,03,45,027-004,OTHER PARTIES,0,0,0,0,1
Baltimore City,03,45,027-004,REPUBLICAN,41,5,3,0,87
Baltimore City,03,45,027-004,UNAFFILIATED,26,6,3,0,76
Baltimore City,03,45,027-005,DEMOCRAT,740,305,45,35,1649
Baltimore City,03,45,027-005,GREEN,5,1,2,1,15
Baltimore City,03,45,027-005,LIBERTARIAN,5,0,0,0,8
Baltimore City,03,45,027-005,OTHER PARTIES,2,0,0,0,6
Baltimore City,03,45,027-005,REPUBLICAN,119,26,1,5,263
Baltimore City,03,45,027-005,UNAFFILIATED,105,35,7,3,277
Baltimore City,02,45,027-006,DEMOCRAT,886,550,28,33,2249
Baltimore City,02,45,027-006,GREEN,2,2,1,0,8
Baltimore City,02,45,027-006,LIBERTARIAN,1,0,0,0,6
Baltimore City,02,45,027-006,OTHER PARTIES,2,0,0,0,8
Baltimore City,02,45,027-006,REPUBLICAN,70,27,6,4,214
Baltimore City,02,45,027-006,UNAFFILIATED,97,33,15,6,305
Baltimore City,02,45,027-007,DEMOCRAT,362,206,38,8,966
Baltimore City,02,45,027-007,GREEN,0,0,0,0,1
Baltimore City,02,45,027-007,LIBERTARIAN,0,0,0,0,1
Baltimore City,02,45,027-007,OTHER PARTIES,1,0,0,0,2
Baltimore City,02,45,027-007,REPUBLICAN,29,5,8,1,80
Baltimore City,02,45,027-007,UNAFFILIATED,40,14,3,1,122
Baltimore City,02,45,027-008,DEMOCRAT,727,339,40,38,1732
Baltimore City,02,45,027-008,GREEN,0,0,0,0,4
Baltimore City,02,45,027-008,LIBERTARIAN,7,0,1,0,11
Baltimore City,02,45,027-008,OTHER PARTIES,6,1,0,2,14
Baltimore City,02,45,027-008,REPUBLICAN,118,27,13,3,258
Baltimore City,02,45,027-008,UNAFFILIATED,112,28,8,6,280
Baltimore City,03,45,027-009,DEMOCRAT,477,168,11,23,973
Baltimore City,03,45,027-009,GREEN,3,2,0,0,6
Baltimore City,03,45,027-009,LIBERTARIAN,3,1,0,0,6
Baltimore City,03,45,027-009,OTHER PARTIES,1,1,0,0,4
Baltimore City,03,45,027-009,REPUBLICAN,89,15,4,3,177
Baltimore City,03,45,027-009,UNAFFILIATED,64,9,2,5,147
Baltimore City,03,45,027-010,DEMOCRAT,228,31,16,18,403
Baltimore City,03,45,027-010,GREEN,1,0,1,0,2
Baltimore City,03,45,027-010,LIBERTARIAN,6,0,0,0,10
Baltimore City,03,45,027-010,OTHER PARTIES,0,0,0,0,0
Baltimore City,03,45,027-010,REPUBLICAN,103,6,4,0,177
Baltimore City,03,45,027-010,UNAFFILIATED,44,3,2,2,100
Baltimore City,03,45,027-011,DEMOCRAT,739,222,37,36,1458
Baltimore City,03,45,027-011,GREEN,4,0,0,0,7
Baltimore City,03,45,027-011,LIBERTARIAN,7,1,0,2,12
Baltimore City,03,45,027-011,OTHER PARTIES,5,2,1,0,14
Baltimore City,03,45,027-011,REPUBLICAN,262,30,14,2,445
Baltimore City,03,45,027-011,UNAFFILIATED,150,21,9,7,343
Baltimore City,03,43,027-012,DEMOCRAT,156,64,6,11,320
Baltimore City,03,43,027-012,GREEN,2,0,0,0,3
Baltimore City,03,43,027-012,LIBERTARIAN,4,0,0,0,4
Baltimore City,03,43,027-012,OTHER PARTIES,0,0,1,0,3
Baltimore City,03,43,027-012,REPUBLICAN,66,5,2,3,118
Baltimore City,03,43,027-012,UNAFFILIATED,43,4,5,2,93
Baltimore City,03,43,027-013,DEMOCRAT,831,340,32,76,2118
Baltimore City,03,43,027-013,GREEN,0,1,1,0,3
Baltimore City,03,43,027-013,LIBERTARIAN,1,0,1,1,6
Baltimore City,03,43,027-013,OTHER PARTIES,2,1,1,0,8
Baltimore City,03,43,027-013,REPUBLICAN,107,22,5,2,246
Baltimore City,03,43,027-013,UNAFFILIATED,91,43,13,9,345
Baltimore City,07,45,027-014,DEMOCRAT,707,354,50,34,1673
Baltimore City,07,45,027-014,GREEN,3,1,2,1,10
Baltimore City,07,45,027-014,LIBERTARIAN,6,2,1,0,14
Baltimore City,07,45,027-014,OTHER PARTIES,7,1,0,0,13
Baltimore City,07,45,027-014,REPUBLICAN,179,28,7,5,330
Baltimore City,07,45,027-014,UNAFFILIATED,118,31,8,7,303
Baltimore City,07,43,027-015,DEMOCRAT,666,363,29,48,1608
Baltimore City,07,43,027-015,GREEN,2,2,1,0,7
Baltimore City,07,43,027-015,LIBERTARIAN,1,1,1,0,6
Baltimore City,07,43,027-015,OTHER PARTIES,3,0,0,0,3
Baltimore City,07,43,027-015,REPUBLICAN,41,12,2,4,118
Baltimore City,07,43,027-015,UNAFFILIATED,56,19,3,2,170
Baltimore City,07,43,027-016,DEMOCRAT,229,104,18,5,509
Baltimore City,07,43,027-016,GREEN,1,1,0,0,4
Baltimore City,07,43,027-016,LIBERTARIAN,1,0,0,0,2
Baltimore City,07,43,027-016,OTHER PARTIES,2,0,0,0,3
Baltimore City,07,43,027-016,REPUBLICAN,28,11,2,0,60
Baltimore City,07,43,027-016,UNAFFILIATED,36,11,3,1,91
Baltimore City,07,43,027-017,DEMOCRAT,400,212,35,10,933
Baltimore City,07,43,027-017,GREEN,1,0,0,0,4
Baltimore City,07,43,027-017,LIBERTARIAN,1,0,0,0,2
Baltimore City,07,43,027-017,OTHER PARTIES,1,0,0,0,3
Baltimore City,07,43,027-017,REPUBLICAN,36,6,5,0,88
Baltimore City,07,43,027-017,UNAFFILIATED,48,12,1,1,125
Baltimore City,07,43,027-018,DEMOCRAT,573,287,66,66,1665
Baltimore City,07,43,027-018,GREEN,7,1,1,0,11
Baltimore City,07,43,027-018,LIBERTARIAN,3,2,0,0,6
Baltimore City,07,43,027-018,OTHER PARTIES,3,0,0,0,13
Baltimore City,07,43,027-018,REPUBLICAN,56,6,7,9,131
Baltimore City,07,43,027-018,UNAFFILIATED,71,26,5,15,238
Baltimore City,07,43,027-019,DEMOCRAT,222,145,16,26,649
Baltimore City,07,43,027-019,GREEN,1,0,0,0,2
Baltimore City,07,43,027-019,LIBERTARIAN,0,0,0,0,1
Baltimore City,07,43,027-019,OTHER PARTIES,0,0,0,0,0
Baltimore City,07,43,027-019,REPUBLICAN,6,2,2,1,32
Baltimore City,07,43,027-019,UNAFFILIATED,17,5,0,4,58
Baltimore City,03,43,027-020,DEMOCRAT,589,627,72,31,1932
Baltimore City,03,43,027-020,GREEN,2,0,0,0,4
Baltimore City,03,43,027-020,LIBERTARIAN,1,0,0,0,3
Baltimore City,03,43,027-020,OTHER PARTIES,1,1,0,0,5
Baltimore City,03,43,027-020,REPUBLICAN,32,13,8,1,109
Baltimore City,03,43,027-020,UNAFFILIATED,56,37,5,2,190
Baltimore City,07,43,027-021,DEMOCRAT,739,583,41,65,2047
Baltimore City,07,43,027-021,GREEN,0,0,0,0,3
Baltimore City,07,43,027-021,LIBERTARIAN,3,0,1,0,7
Baltimore City,07,43,027-021,OTHER PARTIES,4,0,0,0,5
Baltimore City,07,43,027-021,REPUBLICAN,22,7,0,1,67
Baltimore City,07,43,027-021,UNAFFILIATED,59,31,5,7,215
Baltimore City,07,43,027-022,DEMOCRAT,738,757,101,31,2330
Baltimore City,07,43,027-022,GREEN,0,0,0,0,3
Baltimore City,07,43,027-022,LIBERTARIAN,0,0,0,0,4
Baltimore City,07,43,027-022,OTHER PARTIES,2,5,1,0,11
Baltimore City,07,43,027-022,REPUBLICAN,23,9,4,1,78
Baltimore City,07,43,027-022,UNAFFILIATED,32,24,4,9,150
Baltimore City,07,43,027-023,DEMOCRAT,199,155,9,3,526
Baltimore City,07,43,027-023,GREEN,0,0,0,0,0
Baltimore City,07,43,027-023,LIBERTARIAN,0,0,0,0,0
Baltimore City,07,43,027-023,OTHER PARTIES,0,0,0,0,1
Baltimore City,07,43,027-023,REPUBLICAN,5,4,0,0,15
Baltimore City,07,43,027-023,UNAFFILIATED,11,8,0,1,42
Baltimore City,07,43,027-024,DEMOCRAT,158,173,6,23,573
Baltimore City,07,43,027-024,GREEN,0,0,0,0,0
Baltimore City,07,43,027-024,LIBERTARIAN,0,0,0,0,1
Baltimore City,07,43,027-024,OTHER PARTIES,0,0,0,1,0
Baltimore City,07,43,027-024,REPUBLICAN,5,1,0,2,20
Baltimore City,07,43,027-024,UNAFFILIATED,11,2,0,3,40
Baltimore City,07,43,027-025,DEMOCRAT,325,355,21,37,1084
Baltimore City,07,43,027-025,GREEN,0,0,0,0,1
Baltimore City,07,43,027-025,LIBERTARIAN,0,0,0,0,3
Baltimore City,07,43,027-025,OTHER PARTIES,0,0,0,0,1
Baltimore City,07,43,027-025,REPUBLICAN,11,6,1,1,43
Baltimore City,07,43,027-025,UNAFFILIATED,27,9,0,3,82
Baltimore City,07,43,027-026,DEMOCRAT,188,302,20,55,777
Baltimore City,07,43,027-026,GREEN,1,4,0,0,7
Baltimore City,07,43,027-026,LIBERTARIAN,0,0,1,2,1
Baltimore City,07,43,027-026,OTHER PARTIES,0,0,0,3,1
Baltimore City,07,43,027-026,REPUBLICAN,12,13,0,3,36
Baltimore City,07,43,027-026,UNAFFILIATED,17,22,2,7,81
Baltimore City,07,43,027-027,DEMOCRAT,364,537,30,177,1444
Baltimore City,07,43,027-027,GREEN,3,1,0,0,4
Baltimore City,07,43,027-027,LIBERTARIAN,1,1,0,1,3
Baltimore City,07,43,027-027,OTHER PARTIES,1,1,1,0,3
Baltimore City,07,43,027-027,REPUBLICAN,8,11,0,9,32
Baltimore City,07,43,027-027,UNAFFILIATED,27,27,1,21,108
Baltimore City,07,43,027-028,DEMOCRAT,324,371,30,26,1142
Baltimore City,07,43,027-028,GREEN,1,0,0,0,3
Baltimore City,07,43,027-028,LIBERTARIAN,0,1,0,0,2
Baltimore City,07,43,027-028,OTHER PARTIES,0,1,0,0,4
Baltimore City,07,43,027-028,REPUBLICAN,3,5,3,1,34
Baltimore City,07,43,027-028,UNAFFILIATED,19,11,1,0,84
Baltimore City,07,43,027-029,DEMOCRAT,275,199,10,10,797
Baltimore City,07,43,027-029,GREEN,0,0,0,0,1
Baltimore City,07,43,027-029,LIBERTARIAN,1,0,0,0,2
Baltimore City,07,43,027-029,OTHER PARTIES,0,1,0,0,5
Baltimore City,07,43,027-029,REPUBLICAN,5,4,0,1,25
Baltimore City,07,43,027-029,UNAFFILIATED,17,6,2,0,63
Baltimore City,07,43,027-030,DEMOCRAT,380,367,26,36,1230
Baltimore City,07,43,027-030,GREEN,0,1,0,0,3
Baltimore City,07,43,027-030,LIBERTARIAN,1,0,0,0,3
Baltimore City,07,43,027-030,OTHER PARTIES,0,1,1,0,7
Baltimore City,07,43,027-030,REPUBLICAN,6,5,1,0,27
Baltimore City,07,43,027-030,UNAFFILIATED,34,13,0,3,124
Baltimore City,07,43,027-031,DEMOCRAT,672,553,23,70,1932
Baltimore City,07,43,027-031,GREEN,2,4,1,0,9
Baltimore City,07,43,027-031,LIBERTARIAN,1,0,0,0,3
Baltimore City,07,43,027-031,OTHER PARTIES,0,0,0,0,3
Baltimore City,07,43,027-031,REPUBLICAN,20,11,2,3,72
Baltimore City,07,43,027-031,UNAFFILIATED,48,23,1,2,167
Baltimore City,03,43,027-032,DEMOCRAT,717,436,59,40,1809
Baltimore City,03,43,027-032,GREEN,5,0,1,0,13
Baltimore City,03,43,027-032,LIBERTARIAN,4,2,0,0,9
Baltimore City,03,43,027-032,OTHER PARTIES,3,1,1,0,11
Baltimore City,03,43,027-032,REPUBLICAN,64,23,7,1,169
Baltimore City,03,43,027-032,UNAFFILIATED,90,34,6,5,250
Baltimore City,07,43,027-033,DEMOCRAT,654,569,57,52,1910
Baltimore City,07,43,027-033,GREEN,6,2,0,0,11
Baltimore City,07,43,027-033,LIBERTARIAN,3,0,1,0,6
