name,altName,precinct,zipCode,legislative,congressional,judicial,appellate,councilman,isPublic,snowRoute,Location 1
St. Nicholas' Church Hall,St. Nicholas' Church Hall,7,21224,46,3,8,6,2,1,Primary,"520 Ponca Street
Baltimore, MD
(39.28648454, -76.55503173)"
Canton Baptist Church,Canton Baptist Church,8,21224,46,3,8,6,1,1,Secondary,"3302 Toone Street
Baltimore, MD
(39.2784852, -76.56894568)"
Canton Middle,School No. 230,9,21224,46,3,8,6,1,1,Secondary,"801 Highland Avenue
Baltimore, MD
(39.28349265, -76.56871645)"
Highlandtown Elementary,School No. 215,10,21224,46,3,8,6,1,0,Primary,"3223 Pratt Street
Baltimore, MD
(39.29004345, -76.57090264)"
John Booth Senior Center,John Booth Senior Center,11,21224,46,3,8,6,2,0,Secondary,"229 1 2 Eaton Street
Baltimore, MD
(39.28954986, -76.56536687)"
Engine House No. 51,Engine House No. 51,12,21224,46,7,8,6,13,1,Primary,"646 Highland Avenue
Baltimore, MD
(39.29872595, -76.56993434)"
Carroll Cook Recreation Center,Carroll Cook Recreation Ce,13,21205,45,3,8,6,13,1,Secondary,"5061 Eager Street
Baltimore, MD
(39.30517129, -76.55313049)"
Community Building,Community Building,14,21205,46,3,8,6,2,1,Secondary,"931 Armistead Way
Baltimore, MD
(39.30352421, -76.54687967)"
Moravia Park Pre-K-8 Campus,School No. 105,15,21206,45,2,8,6,2,1,Primary,"6001 Frankford Avenue
Baltimore, MD
(39.3182394, -76.54008151)"
Thurgood Marshall Middle,School No. 170,16,21206,45,2,8,6,2,1,Primary,"5001 Sinclair Lane
Baltimore, MD
(39.32203742, -76.54593868)"
Claremont Homes,Claremont Homes,17,21213,45,2,8,6,13,1,Secondary,"4320 Clareway
Baltimore, MD
(39.31418075, -76.55945456)"
Sinclair Lane Elementary,School No. 248,18,21213,45,2,8,6,13,1,Primary,"3880 Sinclair Lane
Baltimore, MD
(39.31459698, -76.56108896)"
Library No. 29,Library No. 29,19,21213,45,3,8,6,13,1,Primary,"3801 Erdman Avenue
Baltimore, MD
(39.31572354, -76.56912102)"
Brehms Lane Elementary,School No. 231,20,21213,45,3,8,6,13,1,Primary,"3536 Brehms Lane
Baltimore, MD
(39.3210807, -76.56581891)"
Brehms Lane Elementary,School No. 231,21,21213,45,2,8,6,13,1,Primary,"3536 Brehms Lane
Baltimore, MD
(39.3210807, -76.56581891)"
Jerusalem Evangelical Luth,Jerusalem Evangelical Luth,22,21206,45,2,8,6,13,1,Primary,"4605 Belair Road
Baltimore, MD
(39.33136062, -76.56112438)"
Jerusalem Evangelical Luth,Jerusalem Evangelical Luth,23,21206,45,2,8,6,2,1,Primary,"4605 Belair Road
Baltimore, MD
(39.33136062, -76.56112438)"
Northeast Middle School,Northeast Middle School No,24,21206,45,2,8,6,2,1,Primary,"5001 Moravia Road
Baltimore, MD
(39.32469117, -76.55079719)"
Furley Elementary,School No. 206,25,21206,45,2,8,6,2,1,Primary,"4633 Furley Avenue
Baltimore, MD
(39.32837529, -76.55176889)"
Gardenville Elementary,School No. 211,26,21206,45,2,8,6,2,1,Primary,"5300 Belair Road
Baltimore, MD
(39.3377725, -76.55231061)"
Hazelwood Elem/Middle,School No. 210,27,21206,45,2,8,6,2,1,Primary,"4517 Hazelwood Avenue
Baltimore, MD
(39.33894371, -76.53997352)"
Hazelwood Elm/Middle,School No. 210,28,21206,45,2,8,6,2,1,Primary,"4517 Hazelwood Avenue
Baltimore, MD
(39.33894371, -76.53997352)"
Hazelwood Elem/Middle,School No. 210,29,21206,45,2,8,6,2,1,Primary,"4517 Hazelwood Avenue
Baltimore, MD
(39.33894371, -76.53997352)"
Engine House No. 54,Engine House No. 54,30,21206,45,2,8,6,2,1,Primary,"5821 Belair Road
Baltimore, MD
(39.34438061, -76.54251423)"
Engine House No. 54,Engine House No. 54,31,21206,45,3,8,6,2,1,Primary,"5821 Belair Road
Baltimore, MD
(39.34438061, -76.54251423)"
Jerusalem Evangelical Luth,Jerusalem Evangelical Luth,1,21206,45,2,8,6,3,1,Primary,"4605 Belair Road
Baltimore, MD
(39.33136062, -76.56112438)"
Ray of Hope Baptist Church,Ray of Hope Baptist Church,2,21214,45,3,8,6,3,1,Primary,"3000 Parkside Drive
Baltimore, MD
(39.33706509, -76.57465705)"
Engine House No. 42,Engine House No. 42,3,21214,45,3,8,6,3,1,Primary,"4522 Harford Road
Baltimore, MD
(39.34126171, -76.5713552)"
Harford Center for Senior,Harford Center for Senior,4,21214,45,3,8,6,3,1,Primary,"4920 Harford Road
Baltimore, MD
(39.34670651, -76.56631466)"
Hamilton Middle,School No. 41,5,21214,45,3,8,6,3,1,Primary,"5609 Sefton Avenue
Baltimore, MD
(39.35041958, -76.55551325)"
Gardenville Elementary,School No. 211,6,21206,45,2,8,6,2,1,Primary,"5300 Belair Road
Baltimore, MD
(39.3377725, -76.55231061)"
Glenmount Elem/Middle,School No. 235,7,21214,45,2,8,6,2,1,Primary,"6211 Walther Avenue
Baltimore, MD
(39.35148857, -76.54291812)"
Glenmount Elem/Middle,School No. 235,8,21214,45,2,8,6,2,1,Primary,"6211 Walther Avenue
Baltimore, MD
(39.35148857, -76.54291812)"
Engine House No. 56,Engine House No. 56,9,21234,45,3,8,6,3,1,Primary,"6512 Harford Road
Baltimore, MD
(39.36177794, -76.55341006)"
Overlea Methodist Church,Overlea Methodist Church,10,21206,45,3,8,6,2,1,Secondary,"3902 Overlea Avenue
Baltimore, MD
(39.35843109, -76.53338201)"
Woodhome Recreation Center,Woodhome Recreation Center,11,21234,45,3,8,6,3,1,Primary,"7310 Moyer Avenue
Baltimore, MD
(39.36582852, -76.54066779)"
North Harford Rec. Center,North Harford Recreation C,12,21239,43,3,8,6,3,1,Secondary,"6800 Hamlet Ave
Baltimore, MD
(39.36689024, -76.55886785)"
Hamilton Elem/Middle,School No. 236,14,21214,43,3,8,6,3,1,Primary,"6101 Old Harford Road
Baltimore, MD
(39.35899345, -76.55816009)"
W.E.B. DuBois High,School No. 418,15,21214,43,2,8,6,3,1,Primary,"2201 Pinewood Avenue
Baltimore, MD
(39.36629856, -76.57108553)"
Garrett Heights Elementary,School No. 212,16,21214,43,3,8,6,3,1,Primary,"2800 Ailsa Avenue
Baltimore, MD
(39.34903864, -76.56975787)"
Garrett Heights Elementary,School No. 212,17,21214,43,7,8,6,3,1,Primary,"2800 Ailsa Avenue
Baltimore, MD
(39.34903864, -76.56975787)"
Engine House No. 42,Engine House No. 42,18,21214,43,7,8,6,3,1,Primary,"4522 Harford Road
Baltimore, MD
(39.34126171, -76.5713552)"
Yorkwood Elementary,School No. 219,19,21239,43,2,8,6,4,1,Secondary,"5931 Yorkwood Road
Baltimore, MD
(39.36269189, -76.58394426)"
Yorkwood Elementary,School No. 219,21,21239,43,2,8,6,4,1,Secondary,"5931 Yorkwood Road
Baltimore, MD
(39.36269189, -76.58394426)"
Northwood Elementary,School No. 242,22,21239,43,2,8,6,3,1,Primary,"5201 Loch
Baltimore, MD
(39.35220723, -76.59026696)"
Northwood Elementary,School No. 242,23,21239,43,3,8,6,3,1,Primary,"5201 Loch
Baltimore, MD
(39.35220723, -76.59026696)"
Northwood Elementary,School No. 242,24,21239,43,7,8,6,3,1,Primary,"5201 Loch
Baltimore, MD
(39.35220723, -76.59026696)"
Northwood Appold Community,Northwood Appold Community,25,21218,43,7,8,6,3,1,Primary,"4417 Loch
Baltimore, MD
(39.34527078, -76.5920073)"
Library No. 10,Library No. 10,26,21218,43,7,8,6,3,1,Primary,"4420 Loch
Baltimore, MD
(39.34511861, -76.59247515)"
Library No. 10,Library No. 10,27,21218,43,7,8,6,4,1,Primary,"4420 Loch
Baltimore, MD
(39.34511861, -76.59247515)"
Chinquapin Middle,School No. 46,28,21212,43,7,8,6,4,1,Primary,"900 Woodbourne Avenue
Baltimore, MD
(39.35477029, -76.60227122)"
Chinquapin Middle,School No. 46,29,21212,43,3,8,6,4,1,Primary,"900 Woodbourne Avenue
Baltimore, MD
(39.35477029, -76.60227122)"
Northwood Elementary,School No. 242,30,21239,43,2,8,6,4,1,Primary,"5201 Loch
Baltimore, MD
(39.35220723, -76.59026696)"
Leith Walk Elementary,School No. 245,31,21239,43,2,8,6,4,1,Secondary,"1235 Sherwood Avenue
Baltimore, MD
(39.36574867, -76.5919323)"
Northside Baptist Church,Northside Baptist Church,32,21239,43,2,8,6,4,1,Primary,"1100 Northern
Baltimore, MD
(39.36613555, -76.59852156)"
Govans Elementary,School No. 213,33,21212,43,2,8,6,4,1,Primary,"500 Campbell Lane
Baltimore, MD
(39.36036182, -76.60992259)"
Deweese Recreation Center,Deweese Recreation Center,34,21212,43,3,8,6,4,1,Secondary,"5501 Ivanhoe Avenue
Baltimore, MD
(39.35632694, -76.60415303)"
Winston Middle,School No. 209,35,21212,43,7,8,6,4,1,Secondary,"1101 Winston Avenue
Baltimore, MD
(39.34902435, -76.60031281)"
Guilford Elem/Middle,School No. 214,36,21212,43,7,8,6,4,1,Primary,"4520 York Road
Baltimore, MD
(39.34405693, -76.60968188)"
Guilford Elem/Middle,School No. 214,37,21212,43,3,8,6,4,1,Primary,"4520 York Road
Baltimore, MD
(39.34405693, -76.60968188)"
Govans Manor,Govans Manor,38,21212,43,3,8,6,4,1,Primary,"5220 York Road
Baltimore, MD
(39.35334921, -76.60992259)"
St. Marys Church of Govans,St. Marys Church of Govans,39,21212,43,3,8,6,4,1,Primary,"5502 York Road
Baltimore, MD
(39.35710842, -76.61001565)"
Grace United Methodist Church,Grace United Methodist Chu,40,21210,43,3,8,6,4,1,Primary,"5407 Charles Street
Baltimore, MD
(39.36049532, -76.62465225)"
Grace United Methodist Church,Grace United Methodist Chu,41,21210,43,3,8,6,4,1,Primary,"5407 Charles Street
Baltimore, MD
(39.36049532, -76.62465225)"
First Christian Church,First Christian Church,42,21210,41,3,8,6,5,1,Primary,"5802 Roland Avenue
Baltimore, MD
(39.36810804, -76.6343466)"
Western High,School No. 407,43,21209,41,3,8,6,6,1,Primary,"4600 Falls Road
Baltimore, MD
(39.34511618, -76.64094269)"
Roland Park Elem/Middle,School No. 233,44,21210,41,3,8,6,6,1,Primary,"5207 Roland Avenue
Baltimore, MD
(39.35665363, -76.63462232)"
St. David's Church,St. David's Church,45,21210,41,3,8,6,6,1,Primary,"4700 Roland Avenue
Baltimore, MD
(39.34759861, -76.63610024)"
Bolton Street Synagogue,Bolton Street Synagogue,46,21210,40,3,8,6,14,1,Primary,"212 Coldspring
Baltimore, MD
(39.3450232, -76.62752426)"
Medfield Heights Elementary,School No. 249,47,21211,40,3,8,6,7,1,Secondary,"4300 Buchanan Avenue
Baltimore, MD
(39.34033263, -76.6419854)"
Ruscombe Garden Apartments,Ruscombe Garden Apartments,48,21209,41,3,8,6,6,1,Secondary,"4800 Yellowwood Avenue
Baltimore, MD
(39.34841495, -76.6581439)"
Shrine of the Sacred Heart,Shrine of the Sacred Heart,49,21209,41,3,8,6,5,0,Primary,"5800 Smith Avenue
Baltimore, MD
(39.3678305, -76.65370273)"
Elderslie United Methodist,Elderslie United Methodist,50,21209,41,3,8,6,5,1,Primary,"5601 Pimlico Road
Baltimore, MD
(39.35831835, -76.67103259)"
Levindale Home,Levindale Home,51,21215,41,3,8,6,6,1,Primary,"2434 Belvedere Avenu
Baltimore, MD
(39.35347447, -76.66471813)"
Pimilco Elementary,School No. 223,52,21215,40,7,8,6,6,1,Primary,"4849 Pimlico Road
Baltimore, MD
(39.34783562, -76.66869178)"
Edgecombe Circle Elementary,School No. 62,53,21215,40,7,8,6,6,1,Secondary,"2835 Virginia Avenue
Baltimore, MD
(39.34498646, -76.66273013)"
C.C. Jackson Recreation Center,C.C. Jackson Recreation Ce,54,21215,40,7,8,6,6,1,Primary,"4910 Park Heights Avenu
Baltimore, MD
(39.34656473, -76.67279608)"
Langston Hughed Elementary,School No. 5,55,21215,41,7,8,6,6,1,Secondary,"5011 Arbutus Avenue
Baltimore, MD
(39.3425387, -76.68040723)"
Bel-Park Tower,Bel-Park Tower,56,21215,41,7,8,6,6,1,Primary,"3800 Belvedere Avenu
Baltimore, MD
(39.34533659, -76.68151473)"
Bel-Park Tower,Bel-Park Tower,57,21215,41,7,8,6,5,1,Primary,"3800 Belvedere Avenu
Baltimore, MD
(39.34533659, -76.68151473)"
Pimlico Elementary,School No. 223,58,21215,41,7,8,6,6,1,Primary,"4849 Pimlico Road
Baltimore, MD
(39.34783562, -76.66869178)"
Northwestern High,School No. 401,62,21215,41,3,8,6,5,1,Primary,"6900 Park Heights Avenu
Baltimore, MD
(39.36478153, -76.70291854)"
Cross Country Elementary,School No. 247,63,21215,41,3,8,6,5,1,Primary,"6100 Cross Country Boul
Baltimore, MD
(39.36227031, -76.68662815)"
Engine House No. 45,Engine House No. 45,64,21209,41,3,8,6,5,1,Primary,"4500 Cross Country Boul
Baltimore, MD
(39.36168654, -76.67712532)"
Cross Country Elementary,School No. 247,65,21215,41,3,8,6,5,1,Primary,"6100 Cross Country Boul
Baltimore, MD
(39.36227031, -76.68662815)"
Northwestern High,School No. 401,66,21215,41,3,8,6,5,1,Primary,"6900 Park Heights Avenu
Baltimore, MD
(39.36478153, -76.70291854)"
Fallstaff Elementary,School No. 241,67,21215,41,3,8,6,5,1,Primary,"3801 Fallstaff Road
Baltimore, MD
(39.36304725, -76.70496643)"
Fallstaff Elementary,School No. 241,1,21215,41,7,8,6,5,1,Primary,"3801 Fallstaff Road
Baltimore, MD
(39.36304725, -76.70496643)"
Grove Park Elementary,School No. 224,2,21215,41,7,8,6,5,1,Primary,"5545 Kennison Avenue
Baltimore, MD
(39.34248456, -76.6993582)"
George McMechen Middle/Sr.,School No. 177,3,21215,41,7,8,6,6,1,Primary,"4411 Garrison Boulevard
Baltimore, MD
(39.33675172, -76.68463318)"
Calvin Rodwell Elementary,School No. 256,4,21207,41,7,8,6,5,1,Primary,"3501 Hillsdale Road
Baltimore, MD
(39.32995503, -76.69464184)"
Forest Park Senior Center,Forest Park Senior Center,5,21207,41,7,8,6,5,1,Primary,"4801 Liberty Heights Av
Baltimore, MD
(39.33178364, -76.69716765)"
Forest Park Senior Center,Forest Park Senior Center,6,21207,41,7,8,6,5,1,Primary,"4801 Liberty Heights Av
Baltimore, MD
(39.33178364, -76.69716765)"
Calvin Rodwell Elementary,School No. 256,7,21207,41,7,8,6,5,1,Primary,"3501 Hillsdale Road
Baltimore, MD
(39.32995503, -76.69464184)"
Liberty Recreation Center,Liberty Recreation Center,8,21207,41,7,8,6,6,1,Primary,"3901 Maine Avenue
Baltimore, MD
(39.32599971, -76.68277395)"
Dickey Hill Elem/Middle,School No. 201,9,21207,41,7,8,6,8,1,Primary,"5025 Dickey Hill Road
Baltimore, MD
(39.31163555, -76.70310629)"
St. William of York School,St. William of York School,10,21229,41,7,8,6,8,0,Primary,"600 Cooks Lane
Baltimore, MD
(39.29259796, -76.70209808)"
Thomas Jefferson Elementary,School No. 232,11,21229,41,7,8,6,8,0,Primary,"605 Dryden Drive
Baltimore, MD
(39.29497087, -76.69921564)"
Thomas Jefferson Elementary,School No. 232,12,21229,44,7,8,6,8,0,Primary,"605 Dryden Drive
Baltimore, MD
(39.29497087, -76.69921564)"
Edmondson Westside High,School No. 400,13,21229,44,7,8,6,8,1,Primary,"501 Athol Avenue
Baltimore, MD
(39.29194591, -76.68919838)"
Beechfield Elementary,School No. 246 Annex,14,21229,44,7,8,6,8,1,Primary,"301 Beechfield Avenu
Baltimore, MD
(39.28091541, -76.69386377)"
West Baltimore Middle,School No. 80,15,21229,41,7,8,6,8,1,Primary,"201 Bend Road
Baltimore, MD
(39.28395995, -76.70751517)"
Jewish Community Center,Jewish Community Center,59, , , , , , ,0,Primary,"5700 Park Heights Rd
(39.35302403, -76.68541894)"
Jewish Community Center,Jewish Community Center,60, , , , , , ,0,Primary,"5700 Park Heights Rd
(39.35302403, -76.68541894)"
Jewish Community Center,Jewish Community Center,61, , , , , , ,0,Primary,"5700 Park Heights Rd
(39.35302403, -76.68541894)"
Harbor Apartments,Harbor Apartments,1, , , , , , ,0,Primary,"600 Light Street
(39.28099401, -76.61464943)"
Professional Development Center,Professional Development Center,13, , , , , , ,0,Primary,"2500 Northern Pkwy
(39.36680388, -76.56248743)"
Leith Walk Elementary,School No. 245,20, , , , , , ,0,Secondary,"1235 Sherwood Avenue
(39.36582804, -76.59190288)"
Dunbar Day Care Center,Dunbar Day Care Center,1, , , , , , ,0,Secondary,"631 EDEN STREET
(39.29786829, -76.59908917999999)"
Lombard Middle,School No. 57,2,21231,16,7,8,6,12,1,Primary,"1601 Lombard St
Baltimore, MD
(39.286287, -76.601046)"
St. Leo's Church Hall,St. Leo's Church Hall,3,21202,46,3,8,6,1,1,Primary,"225 Exeter Street
Baltimore, MD
(39.2873401, -76.60104623)"
